"Shared Places";"Gemeinsame Orte"
"Shared places";"Gemeinsame Orte"
"Coordinates";"Koordinaten"
"Add new shared place";"Neuen gemeinsamen Ort erstellen"
"Create a shared place";"Gemeinsamen Ort erstellen"
"You must provide a shared place name.";"Sie müssen einen Namen für den gemeinsamen Ort angeben."
"Shared place name";"Name des gemeinsamen Ortes"
"Shared place data";"Daten des gemeinsamen Ortes"
